customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,default,owns_car,tenure
42,Chiquita,Durnall,Female,24,3/28/77,Accountant III,Manufacturing,Mass Customer,N,"<>?:""{}|_+",No,18
43,Indira,Belt,Female,38,3/1/83,Director of Sales,Retail,Mass Customer,N,‰¡‰«‰µ,No,5
44,Neron,Verick,Male,63,10/18/81,Assistant Media Planner,Entertainment,Affluent Customer,N,../../../../../../../../../../../etc/passwd%00,Yes,17
45,Trace,Woodhead,Male,64,9/23/75,Senior Financial Analyst,Financial Services,Mass Customer,N,Œ£_¾_¢»,No,8
46,Kaila,Allin,Female,98,2/26/72,,n/a,Affluent Customer,N,‰¡‰«‰µ‰‰‰,Yes,15
47,Matthew,Jeaycock,Male,51,10/22/92,Registered Nurse,Health,Affluent Customer,N,<script>alert('hi')</script>,No,2
48,Rebbecca,Casone,Female,46,8/15/75,Biostatistician II,n/a,Mass Customer,N,../../../../../../../../../../../etc/hosts,Yes,8
49,Nolly,Ownsworth,Male,63,1/26/94,VP Quality Control,n/a,Affluent Customer,N,`‰‰Â‰_‰¼•Â•Â‰Áå¡åá‰‰å±,No,1
50,Whitby,Schapero,Male,38,10/1/80,Account Executive,Manufacturing,Mass Customer,N,0/0,Yes,16
51,Fidelio,Dilke,Male,68,12/5/59,Computer Systems Analyst II,Retail,Mass Customer,N,‹‹_‹‹£‹_‹üÁ‹‹»‹‹,No,18
52,Curran,Bentson,Male,57,6/22/88,,Financial Services,Mass Customer,N,1-Feb,Yes,13
53,Agnella,Gocke,Female,22,4/18/54,Software Test Engineer II,Financial Services,Mass Customer,N,1.00E+00,No,16
54,Loralyn,Wonfor,Femal,2,7/24/66,Sales Associate,Property,Mass Customer,N,-0.5,Yes,18
55,Linc,Jillions,Male,48,9/24/56,Paralegal,Financial Services,Affluent Customer,N,Zí¨íêíÊêêAí´ííêíÈíLí£êêíøí_íêGíÈOí_íí¨,Yes,7
56,Reese,Ensor,Male,44,7/4/96,VP Sales,Property,Mass Customer,N,‹,Yes,4
57,Abba,Masedon,M,87,6/13/88,Chief Design Engineer,n/a,Mass Customer,N,1.00E+02,Yes,13
58,Dalenna,Pinnock,Female,26,7/4/67,Office Assistant III,Financial Services,Affluent Customer,N,1;DROP TABLE users,Yes,17
59,Niki,Heathcote,Male,60,2/8/00,Physical Therapy Assistant,n/a,High Net Worth,N,-$1.00,No,3
60,Nadiya,Champerlen,Female,18,2/4/70,,Manufacturing,Mass Customer,N,‡,No,10
61,Kacey,Rowbottom,Female,47,11/29/59,Help Desk Operator,Property,High Net Worth,N,-1,No,13
62,Sorcha,Roggers,Female,38,7/6/79,,IT,Mass Customer,N,(•_ˆ_´ˆ_´•_•_•ÈÀ ‰È‰‰È,Yes,22
63,Ebony,Zini,Female,58,7/3/65,Senior Quality Engineer,Retail,Mass Customer,N,00è®$-,Yes,16
64,Gerek,Yve,Male,73,3/25/78,Legal Assistant,IT,High Net Worth,N,•_•_•_,No,4
65,Yale,Tanser,Male,21,4/1/76,Information Systems Manager,Financial Services,Affluent Customer,N,1/0,Yes,15
66,Anselm,Gawne,Male,46,3/11/02,Account Executive,Argiculture,High Net Worth,N,•_•_¬(å«‰•_‰©,No,1
67,Vernon,,Male,67,6/14/60,Web Developer II,Retail,Mass Customer,N,<svg><script>0<1>alert('XSS')</script>,No,18
68,Dahlia,Eddoes,Female,37,4/21/74,Information Systems Manager,n/a,Affluent Customer,N,ë©‰Ì¤‰‰Çèåµ‰_‰´Ìá,No,9
69,Heidi,Milner,Female,16,6/22/69,Web Developer II,n/a,Mass Customer,N,0/0,No,6
70,Foster,Vannoort,Male,78,2/27/93,Paralegal,Financial Services,Affluent Customer,N,_,No,8
71,Hoyt,Glavias,Male,30,1/27/85,Research Associate,Argiculture,Affluent Customer,N,•_•_¬(å«‰•_‰©,Yes,12
72,Sammy,Cheese,Male,93,2/13/72,Administrative Officer,Manufacturing,Affluent Customer,N,$1.00,Yes,16
73,Minette,Worters,Female,16,5/27/60,Teacher,n/a,Affluent Customer,N,‰‰‰,Yes,5
74,Pansy,Kiddie,Female,94,6/19/69,,n/a,Mass Customer,N,‹È(•À£‰•À£)‹È:*:,Yes,6
75,Dollie,Sealy,Female,28,7/15/78,VP Product Management,Property,Mass Customer,N,",‹‹È:*:‹È‹‰( ‰È ì ‰È )‹‹È:*:‹È‹‰",No,19
76,Rea,Hasser,Female,20,1/23/78,Statistician II,Retail,High Net Worth,N,‰¢,Yes,18
77,Shermie,Andrin,Male,79,9/12/89,Automation Specialist IV,Financial Services,Mass Customer,N,1;DROP TABLE users,No,7
78,Arch,Van der Kruis,Male,37,3/12/85,Business Systems Development Analyst,Argiculture,Affluent Customer,N,-1.00E+02,No,8
79,Tybi,Silliman,Female,76,10/2/68,Account Executive,Manufacturing,Mass Customer,N,‹‹_‹‹£‹_‹üÁ‹‹»‹‹,No,18
80,Pablo,Small,Male,11,4/24/78,Data Coordiator,Entertainment,Mass Customer,N,nil,No,13
81,Bee,Blazewicz,Female,58,9/4/86,,Health,High Net Worth,N,‰¢,No,13
82,Gleda,Cokely,Female,93,6/28/65,Software Test Engineer III,Property,High Net Worth,N,¡Šü_‹‹‹Ç‹‹‹_Šü‹‹,No,19
83,Kerr,Simmell,Male,97,2/26/67,Internal Auditor,IT,Mass Customer,N,_µ _ _ _,Yes,18
84,Rich,Mathiasen,Male,78,2/7/58,Accountant III,n/a,Mass Customer,N,“Â’__’“ “«’“¡µÂ“,Yes,14
85,Kane,Tixall,Male,1,5/21/58,Analyst Programmer,n/a,Mass Customer,N,NIL,No,8
86,Job,Sleney,Male,75,3/4/89,Occupational Therapist,Health,High Net Worth,N,1,Yes,7
87,Fields,Langdon,Male,78,4/23/74,Editor,Financial Services,Mass Customer,N,"__•_(,_,*)",No,8
88,Malynda,Tumber,Female,41,2/3/66,Help Desk Operator,Property,High Net Worth,N,ôÁô¢ô£,Yes,7
89,Benedicto,Hoxey,Male,74,1/22/67,Speech Pathologist,Health,Mass Customer,N,() { 0; }; touch /tmp/blns.shellshock1.fail;,Yes,14
90,Cary,Garron,Male,76,11/12/84,Quality Control Specialist,Manufacturing,Mass Customer,N,!@#$%^&*(),No,11
91,Dylan,Meaker,Male,69,2/24/55,Senior Financial Analyst,Financial Services,Affluent Customer,N,0•ü‰£ 1•ü‰£ 2•ü‰£ 3•ü‰£ 4•ü‰£ 5•ü‰£ 6•ü‰£ 7•ü‰£ 8•ü‰£ 9•ü‰£ _,Yes,17
92,Jodee,Judkins,Female,98,9/11/80,Recruiting Manager,Health,Mass Customer,N,‰‰‰,No,12
93,Gordon,Gowar,Male,63,7/16/76,Project Manager,Retail,Mass Customer,N,0/0,Yes,10
94,Wallache,Simchenko,Male,33,8/7/74,Civil Engineer,Manufacturing,Mass Customer,N,(•_ˆ_´ˆ_´•_•_•ÈÀ ‰È‰‰È,No,21
95,Nomi,Mallinder,Female,67,12/25/60,Software Engineer III,Manufacturing,Affluent Customer,N,"¯Çô ôô¯_ ¯_ô¯á¯» ô¯¬¯¤ô¯»¯_¯øô¯ø¯, ¯Â¯_ô¯±¯»ô ¯¬¯¤¯_¯»¯¨¯ø¯¤ô ¯£ô ¯øôô. ¯´¯¡ ôô¯¤¯ ¯¤ô¯_¯»¯¤¯± ô¯»ô¯µô¯¬ ô¯¤ô. ¯£ôôô ¯¤ô¯á¯¤ôô¯¤¯ ¯¬¯±ô¯á¯¤ôô¯¤-ô¯±ô¯_¯¤ ô¯ø ¯£¯¨¯¡. ¯_ôôô¯¤ô¯ ¯´¯»ô¯¤ôô¯© ¯¬ôô ô¯¤, ô¯¡ô¯± ¯",Yes,8
96,Heath,Olford,Male,33,8/31/68,Nuclear Power Engineer,Manufacturing,Mass Customer,N,Œ£_¾_¢»,No,15
97,Arne,Corain,Male,16,7/27/79,Community Outreach Specialist,Financial Services,Mass Customer,N,../../../../../../../../../../../etc/hosts,Yes,10
98,Allianora,Babalola,Female,19,3/17/56,Safety Technician IV,Health,Mass Customer,N,,No,7
99,Reggie,Mulliner,Male,97,6/13/98,VP Accounting,Financial Services,Mass Customer,N,í_HêíÂí_íí_eê êíí´ííÈêíwíhííøêoíêíêí±í¨ ñí¼íííêWíáí_í_aí¼í»êií¬êêí_êíøítí¦í_í¨sííêê íÊíÇíÊBíÈêêêêí_eíµhíµíÂêíÇêiíí_êí_í_í¨êíÇnêdí«í»íí êí¡êí©êêêí_Tê¢êí_êí»hêêí¨íÈeíÂíêí í_í_íWêêêííêêaêêêí_í_,No,3
100,Tripp,Steed,Male,80,5/11/68,General Manager,Financial Services,Mass Customer,N,__ _ _ _ _ _ _ _¤,Yes,4
101,Goran,Kwietek,Male,83,12/29/75,Nurse Practicioner,Manufacturing,High Net Worth,N,<img src=x onerror=alert('hi') />,No,11
102,Langsdon,Tranfield,Male,51,11/27/56,Quality Control Specialist,Manufacturing,Affluent Customer,N,_…ü_…¡_»…ü_test¯¤ô¯µô¯_¯¤¯» ¯¤ô¯»ô¯_ôô,No,16
103,Ethyl,Runham,Female,49,4/21/97,Product Engineer,Financial Services,Affluent Customer,N,‹_ˆ__ˆ¼ôêˆ¼ˆ__•_ ‹_ˆ__ˆ¼ôêˆ¼ˆ__•_,Yes,4
104,Odille,Panketh,Female,40,6/6/78,Automation Specialist II,Health,Mass Customer,N,1;DROP TABLE users,Yes,9
105,Maribeth,Pristnor,Female,25,9/17/01,Recruiting Manager,Manufacturing,Mass Customer,N,"<>?:""{}|_+",No,1
106,Glyn,,Male,54,7/3/66,Software Test Engineer III,Health,High Net Worth,N,‹‹_‹‹£‹_‹üÁ‹‹»‹‹,Yes,18
107,Pris,Stallebrass,Female,97,7/1/90,Nurse Practicioner,Financial Services,Mass Customer,N,•_•_¬(å«‰•_‰©,Yes,9
108,Kayle,Mingaud,Female,4,3/14/94,,n/a,High Net Worth,N,‰_À _»_À __À __À __À __À,No,3
109,Cody,Blabey,Male,16,12/11/78,Marketing Assistant,n/a,Affluent Customer,N,1.00E+02,Yes,4
110,Sascha,St. Quintin,Male,23,7/31/00,,Financial Services,Affluent Customer,N,Tíí_í¼í¼oê íáií_íÂêí»ênííêvêíííí_oí¦íí¡íÊkeêêí¨í¼í»í_í±í_ ítêíêí_í£íÈí»hí_êí_í_í_íí_eêí£í¡í_íÂê í¢í_íÈí±íhêêêêíí£í_ií_í_í£í¡í_víÈêeí¼í_í_í»í¡-mí¢iêníí¼íí_íøí¡díµí_íêí©í_íí_ íí´í±í_í_ríííeêpêÊrí_ííÈí_íeêí¼íÊí£sí,No,1
111,Cele,Evason,Female,65,8/29/93,Analyst Programmer,n/a,Mass Customer,N,ÌÌÌÌèÌÌ•£ÀÌÌÌ‰,No,2
112,Shena,Parren,Female,88,8/12/75,Marketing Manager,Retail,High Net Worth,N,ë©‰Ì¤‰‰Çèåµ‰_‰´Ìá,No,12
113,Gage,Nickless,Male,67,5/6/56,Staff Scientist,n/a,Mass Customer,N,(•_Á‰ ‰ ‰•_Á),No,20
114,Sunny,Swindells,Female,10,10/23/85,Teacher,Entertainment,Affluent Customer,N,-1.00E+02,No,8
115,Alberik,Mereweather,Male,77,12/21/81,Account Executive,Health,Mass Customer,N,null,No,18
116,Scottie,Swiffen,Male,49,2/5/99,Assistant Professor,Manufacturing,Affluent Customer,N,__ _ _ _ _ _ _ _¤,Yes,2
117,Nance,Suttling,Female,75,2/23/82,Marketing Manager,Manufacturing,Mass Customer,N,Tíí_í¼í¼oê íáií_íÂêí»ênííêvêíííí_oí¦íí¡íÊkeêêí¨í¼í»í_í±í_ ítêíêí_í£íÈí»hí_êí_í_í_íí_eêí£í¡í_íÂê í¢í_íÈí±íhêêêêíí£í_ií_í_í£í¡í_víÈêeí¼í_í_í»í¡-mí¢iêníí¼íí_íøí¡díµí_íêí©í_íí_ íí´í±í_í_ríííeêpêÊrí_ííÈí_íeêí¼íÊí£sí,No,15
118,Prentice,Pearmain,Male,43,11/12/59,Budget/Accounting Analyst IV,n/a,High Net Worth,N,(•_ˆ_´ˆ_´•_•_•ÈÀ ‰È‰‰È,No,19
119,Willey,Chastanet,Male,9,12/4/81,Associate Professor,n/a,High Net Worth,N,,Yes,9
120,Sloan,Wagg,Male,80,9/2/78,Legal Assistant,Financial Services,High Net Worth,N,‰¡‰«‰µ,Yes,4
121,Myles,Pauncefort,Male,82,10/2/57,Graphic Designer,Manufacturing,Mass Customer,N,¬_¾Ê_,No,15
122,Colver,Itter,Male,87,4/19/79,Quality Control Specialist,Financial Services,Mass Customer,N,èƒnb‡«lƒ ƒu®ƒƒø ‚ƒ_olop æ‚ ‚ƒ_oqƒl æn æunp‡«p‡«ƒu‡« ƒ_odƒø‚æ poƒøsn‡«‚ op p‚s 'æ‡«l‚ ®u‡«ƒs‡«d‡«pƒ ƒ_næ‚æƒ‚suoƒ 'æ‚ƒøƒ æ‡«s ƒ_olop ƒønsd‡« ƒø‚ƒ_oè´,Yes,12
123,Almeta,Kalinsky,Female,85,12/3/88,Analyst Programmer,Financial Services,High Net Worth,N,1.00E+96,No,15
124,Kath,Cunney,Female,27,5/3/95,Administrative Assistant II,Health,High Net Worth,N,¡Šü_‹‹‹Ç‹‹‹_Šü‹‹,Yes,5
125,Darrelle,Antoniewski,Female,94,3/17/60,Computer Systems Analyst II,Property,Mass Customer,N,‹_ˆ__ˆ¼ôêˆ¼ˆ__•_ ‹_ˆ__ˆ¼ôêˆ¼ˆ__•_,No,16
126,Norman,Cliff,Male,53,10/15/92,Administrative Officer,Health,Mass Customer,N,‹È(•À£‰•À£)‹È:*:,Yes,3
127,Merrili,Whitear,Female,81,12/3/74,Compensation Analyst,Financial Services,Mass Customer,N,../../../../../../../../../../../etc/passwd%00,No,19
128,Isidro,Cypler,Male,73,7/17/77,Systems Administrator III,Property,Mass Customer,N,‡Ê,Yes,12
129,Weidar,Silkstone,Male,64,7/20/85,Financial Advisor,Financial Services,High Net Worth,N,"__•_(,_,*)",Yes,19
130,Raddy,Delete,Male,32,7/18/97,Chemical Engineer,Manufacturing,Mass Customer,N,-1.00E+02,No,1
131,Jana,Renyard,Female,57,10/16/64,Administrative Officer,Retail,High Net Worth,N,"_…_…¡_¬…µ__©_…«__», _…_…ü_¬…ü_ _…±_…__…«__, _…µ_» _…á_©…__…ü_…á_…«_, _…¡_…µ_» _…ü_…ü_¬…¦_´",No,8
132,Celesta,Willavoys,Female,5,7/7/63,Web Designer I,Manufacturing,Mass Customer,N,`‰‰Â‰_‰¼•Â•Â‰Áå¡åá‰‰å±,Yes,9
133,Eldridge,Fiddeman,Male,12,6/13/77,VP Accounting,Financial Services,Mass Customer,N,",./;'[]\-=",Yes,16
134,Merna,McCulloch,Female,34,8/1/97,Legal Assistant,Telecommunications,Affluent Customer,N,åÁ‰¢å£å¢‰å¤å¦‰¢å»å¼‰‰Ê,Yes,5
135,Rosalia,Sigart,Female,18,1/18/75,Internal Auditor,IT,Mass Customer,N,/dev/null; touch /tmp/blns.fail ; echo,No,3
136,Mel,Bennet,Male,46,5/26/73,Senior Developer,Manufacturing,High Net Worth,N,(‰øå¡‰Áå¡•_‰ø•üµ ‰È‰‰È),Yes,7
137,Vaughn,Artin,Male,27,11/21/87,Office Assistant II,Property,High Net Worth,N,1'; DROP TABLE users--,No,10
138,Onofredo,Franc,Male,5,4/28/85,Recruiter,Financial Services,Affluent Customer,N,‹È(•À£‰•À£)‹È:*:,Yes,13
139,Gar,,Male,1,7/28/64,Operator,Telecommunications,Affluent Customer,N,-1.00E+02,No,4
140,Morrie,Flaxon,Male,9,5/20/94,Programmer Analyst III,Manufacturing,Mass Customer,N,1/0,No,2
141,Townsend,Trobe,Male,67,6/25/54,Teacher,Financial Services,High Net Worth,N,`‰‰Â‰_‰¼•Â•Â‰Áå¡åá‰‰å±,Yes,10
142,Bentley,Fortesquieu,Male,57,8/7/67,Quality Engineer,Health,Affluent Customer,N,../../../../../../../../../../../etc/passwd%00,No,17
143,Kendall,Figg,Male,19,9/1/57,Operator,Argiculture,Mass Customer,N,_µ _ _ _,Yes,11
144,Jory,Barrabeale,U,71,,Environmental Tech,IT,Mass Customer,N,,No,
145,Filippo,Ferrara,Male,33,7/21/97,Account Executive,Financial Services,Mass Customer,N,NIL,No,4
146,Ricoriki,Matlock,Male,34,4/8/85,Quality Control Specialist,Manufacturing,Mass Customer,N,() { 0; }; touch /tmp/blns.shellshock1.fail;,No,8
147,Rea,Pattrick,Female,32,12/6/73,Analog Circuit Design manager,Health,Mass Customer,N,__ _ _ _ _ _ _ _,Yes,10
148,Jaquith,Maffey,Female,69,5/8/81,Programmer Analyst III,n/a,Mass Customer,N,¡Šü_‹‹‹Ç‹‹‹_Šü‹‹,Yes,5
149,Drucy,Kausche,Female,41,1/31/95,Research Nurse,Health,Mass Customer,N,1/0,Yes,1
150,Bradly,Crosse,Male,6,8/23/83,Cost Accountant,Financial Services,Affluent Customer,N,/dev/null; touch /tmp/blns.fail ; echo,No,17
151,Donnie,Brimson,Male,36,1/31/65,Marketing Manager,Manufacturing,Mass Customer,N,•_•_´‰À‹_‰_(•_Á‰‰À‰•_Á)‰±‰À•_´•_,Yes,13
152,Stephana,Cardew,Female,5,3/3/81,Compensation Analyst,Financial Services,Mass Customer,N,00è®$-,No,16
153,Lorilyn,Walshe,Female,73,7/28/77,Assistant Media Planner,Entertainment,Mass Customer,N,“Â’__’“ “«’“¡µÂ“,Yes,12
154,Faydra,Dulieu,Female,90,2/13/58,Junior Executive,n/a,Mass Customer,N,,No,11
155,Orran,Bogges,Male,4,12/28/85,Quality Engineer,Manufacturing,Mass Customer,N,"¯Çô ôô¯_ ¯_ô¯á¯» ô¯¬¯¤ô¯»¯_¯øô¯ø¯, ¯Â¯_ô¯±¯»ô ¯¬¯¤¯_¯»¯¨¯ø¯¤ô ¯£ô ¯øôô. ¯´¯¡ ôô¯¤¯ ¯¤ô¯_¯»¯¤¯± ô¯»ô¯µô¯¬ ô¯¤ô. ¯£ôôô ¯¤ô¯á¯¤ôô¯¤¯ ¯¬¯±ô¯á¯¤ôô¯¤-ô¯±ô¯_¯¤ ô¯ø ¯£¯¨¯¡. ¯_ôôô¯¤ô¯ ¯´¯»ô¯¤ôô¯© ¯¬ôô ô¯¤, ô¯¡ô¯± ¯",No,10
156,Shayla,Rimmington,Female,23,9/9/79,Cost Accountant,Financial Services,Mass Customer,N,Tíí_í¼í¼oê íáií_íÂêí»ênííêvêíííí_oí¦íí¡íÊkeêêí¨í¼í»í_í±í_ ítêíêí_í£íÈí»hí_êí_í_í_íí_eêí£í¡í_íÂê í¢í_íÈí±íhêêêêíí£í_ií_í_í£í¡í_víÈêeí¼í_í_í»í¡-mí¢iêníí¼íí_íøí¡díµí_íêí©í_íí_ íí´í±í_í_ríííeêpêÊrí_ííÈí_íeêí¼íÊí£sí,Yes,11
157,Chad,Houtby,Male,97,11/23/74,Financial Advisor,Financial Services,Affluent Customer,N,1.00E+02,No,16
158,Hamlin,Odams,Male,99,9/3/84,Internal Auditor,n/a,Affluent Customer,N,1.00E+02,No,5
159,Arin,Matskevich,Male,90,5/12/87,Research Nurse,Health,Affluent Customer,N,‹È(•À£‰•À£)‹È:*:,No,13
160,Wake,Durning,Male,5,7/15/64,Registered Nurse,Health,Mass Customer,N,íÁêêíIêííí_nêêêví¨íÇokí_íÇíêiíêí_í_íÊíníÁíÈí¨í£í¼gí_êêí_êíÂê í¡têí_híí_eí¢í_ êíÂí_êfí«íêí£eêêeí£í´í©lêêêiêÊêêí_nêêíêí_í¨gê í¬oêÁêí»fíí£íÂ ííêíêí¨cñêíÇêêêêêhíµí_í£êêaêíí_êêoí_í£í´sê¢í±êí¼íí_íÈ.íí,No,18
161,Tadd,Bloss,Male,49,1/21/76,,n/a,Mass Customer,N,() { 0; }; touch /tmp/blns.shellshock1.fail;,No,16
162,Port,Acuna,Male,90,8/12/79,Nurse Practicioner,IT,Mass Customer,N,ôÁô¢ô£,No,15
163,Kessia,Helder,Female,58,9/6/76,Librarian,Entertainment,High Net Worth,N,ôÁô¢ô£,Yes,14
164,Aarika,Van Vuuren,Female,55,8/7/99,Senior Editor,Retail,Affluent Customer,N,NIL,Yes,1
165,Aldon,Roelofs,Male,61,3/25/84,Administrative Officer,Argiculture,Mass Customer,N,ôÁô¢ô£,Yes,12
166,Elston,Oleszczak,Male,54,6/12/55,Structural Analysis Engineer,Manufacturing,Affluent Customer,N,‰¢,No,6
167,Nathalie,Tideswell,Female,95,10/27/69,,Health,High Net Worth,N,-1,Yes,17
168,Reggie,Broggetti,U,8,,General Manager,IT,Affluent Customer,N,,Yes,
169,Alfy,Bruhnke,Male,20,10/19/57,Data Coordiator,Telecommunications,High Net Worth,N,åÁ‰¢å£å¢‰å¤å¦‰¢å»å¼‰‰Ê,Yes,5
170,Jammal,Gever,Male,80,6/2/75,Pharmacist,Health,High Net Worth,N,"¯Çô ôô¯_ ¯_ô¯á¯» ô¯¬¯¤ô¯»¯_¯øô¯ø¯, ¯Â¯_ô¯±¯»ô ¯¬¯¤¯_¯»¯¨¯ø¯¤ô ¯£ô ¯øôô. ¯´¯¡ ôô¯¤¯ ¯¤ô¯_¯»¯¤¯± ô¯»ô¯µô¯¬ ô¯¤ô. ¯£ôôô ¯¤ô¯á¯¤ôô¯¤¯ ¯¬¯±ô¯á¯¤ôô¯¤-ô¯±ô¯_¯¤ ô¯ø ¯£¯¨¯¡. ¯_ôôô¯¤ô¯ ¯´¯»ô¯¤ôô¯© ¯¬ôô ô¯¤, ô¯¡ô¯± ¯",No,21
171,Halli,Davidoff,Female,62,12/4/70,Assistant Manager,Manufacturing,Mass Customer,N,•_•_¬(å«‰•_‰©,No,10
172,Hilton,Carney,Male,54,9/12/88,Editor,Manufacturing,Affluent Customer,N,NIL,Yes,6
173,Ebba,Hanselmann,Female,99,1/2/97,General Manager,Health,Affluent Customer,N,¬_¾Ê_,No,1
